ADDRESS,CITY,ZIP CODE,PHONE NUMBER,GEOMETRY,Apartment Complex Name
5204 CLAYCUT RD,BATON ROUGE,70806,,POINT (-91.136009167867 30.440412356302),PATRICIAN APARTMENTS
"9989 BURBANK DR, BLDG K",BATON ROUGE,70810,,POINT (-91.114739266621 30.359130674872),THE ARTS APARTMENTS AT BLUEBONNET PLACE
"11070 MEAD RD, BLDG 22",BATON ROUGE,70816,,POINT (-91.058643769794 30.420966577628),WILLOWBEND LAKES APARTMENTS
"5958 CADILLAC ST, BLDG 1115",BATON ROUGE,70811,,POINT (-91.129713823467 30.517731382087),CADILLAC STREET PLACE APARTMENTS
11386 BARD AVE,BATON ROUGE,70815,,POINT (-91.057232135328 30.467667747882),PARK PLACE ON BARD APARTMENTS
8776 ELM GROVE GARDEN DR,BATON ROUGE,70807,,POINT (-91.167606610132 30.527048238558),ELM GROVE GARDENS APARTMENTS
"6444 JONES CREEK RD, BLDG 11",BATON ROUGE,70817,,POINT (-91.020224662263 30.394209837574),IVY PARK APARTMENTS
4207 CHARLES ST,BATON ROUGE,70805,,POINT (-91.147206904966 30.482118292093),FAIRWOOD APARTMENTS 3
12837 COUNTRY RIDGE AVE,BATON ROUGE,70816,,POINT (-91.038268331971 30.403241602954),SOUTH SHERWOOD OAKS APARTMENTS
3942 W BROOKSTOWN DR,BATON ROUGE,70805,,POINT (-91.132437216302 30.48618658982),HOWELL PARK APARTMENTS
3003 S RIVER RD,BATON ROUGE,70802,,POINT (-91.193032058191 30.420176968043),CANTERBURY SQUARE APARTMENTS
1080 N ARDENWOOD DR,BATON ROUGE,70806,,POINT (-91.126021156525 30.459670608258),DALI PLACE APARTMENTS
1243 N FOSTER DR,BATON ROUGE,70806,,POINT (-91.140887505039 30.459921135124),PROVINCIAL NORTH APARTMENTS
"4115 MOHICAN-PRESCOTT XOVR, BLDG 2",BATON ROUGE,70805,,POINT (-91.14871311891 30.486031937576),CHOCTAW LODGE APARTMENTS
